acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z
0.040886,-0.017054,0.122612,0.104548,-0.013371,0.056533,-0.003662,-8.90E-05,-0.05701
0.03376,-0.026679,0.120146,0.105777,-0.014097,0.060514,-0.000177,-0.000538,-0.055063
-0.057213,0.054701,0.120134,0.105388,-0.01364,0.064454,0.003322,-0.000991,-0.052986
0.01941,-0.072114,0.098647,0.104764,-0.013933,0.06804,0.006804,-0.001441,-0.050786
0.045822,-0.081739,0.110603,0.105839,-0.016477,0.07147,0.010294,-0.001938,-0.04847
-0.071433,0.068975,0.103437,0.105417,-0.016693,0.074978,0.013795,-0.002481,-0.046041
-0.013934,-0.024301,0.084211,0.10401,-0.015962,0.078052,0.017266,-0.003016,-0.043503
-0.088139,0.047469,0.096171,0.102328,-0.015586,0.081007,0.020687,-0.003532,-0.040867
-0.009164,0.047455,0.093816,0.100725,-0.014027,0.084121,0.024053,-0.004017,-0.038132
-0.033062,-0.031601,0.079497,0.100031,-0.013772,0.08696,0.027382,-0.004472,-0.035298
-0.080889,0.033011,0.096169,0.098155,-0.013756,0.089839,0.030669,-0.004923,-0.032371
-0.099983,0.073695,0.091464,0.095175,-0.012002,0.092916,0.033876,-0.005345,-0.029346
-0.064063,0.011508,0.04361,0.092473,-0.010604,0.095126,0.036989,-0.005715,-0.026234
-0.064036,0.011495,0.043614,0.090365,-0.010232,0.096548,0.040024,-0.006056,-0.023062
-0.116672,0.011482,0.022045,0.08739,-0.009861,0.097615,0.042975,-0.006386,-0.01985
-0.04957,-0.036387,0.034015,0.084654,-0.01028,0.098524,0.045832,-0.006716,-0.016605
